"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Path Type","Link Path","Link Position"
"Iframe","https://www.e-kislorod.ru/catalog/biotualeti-/qube-165-luxe/","https://www.youtube.com/embed/g-4nMWH94DI","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe[2]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/xodunki/opory-khodunki-10184hr-dvukhurovnevye/","https://www.youtube.com/embed/g-4nMWH94DI","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/krecla-tualeti/kreslo-tualet-wc-econom/","https://www.youtube.com/embed/g-4nMWH94DI","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe[2]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/krecla-tualeti/kreslo-tualet-armed-fs899/","https://www.youtube.com/embed/g-4nMWH94DI","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video'][1]/iframe[2]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/biotualeti-/qube-165/","https://www.youtube.com/embed/g-4nMWH94DI","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe[2]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/krecla-tualeti/kreslo-tualet-armed-fs810/","https://www.youtube.com/embed/g-4nMWH94DI","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video'][1]/iframe[2]","Content"
"Iframe","https://www.e-kislorod.ru/company/news/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/g-4nMWH94DI","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/p[13]/iframe","Content"
"Iframe","https://www.e-kislorod.ru/articles/tovary-dlya-vrachey-i-meditsinskikh-uchrezhdeniy/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/_8kc9K3DbVU","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe[4]","Content"
"Iframe","https://www.e-kislorod.ru/company/news/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/_8kc9K3DbVU","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/p[3]/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/invalidnye-kolyaski-dlya-detey-s-dtsp/kolyaska-aktivnogo-tipa-dlya-detey-i-podrostkov-ottobock-avangard-tin/","https://www.youtube.com/embed/_8kc9K3DbVU","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe[1]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/invalidnie-kolycki-aktivnogo-tipa/kreslo-kolyaska-ottobock-avangard%204/","https://www.youtube.com/embed/_8kc9K3DbVU","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe[1]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/invalidnie-kolycki-aktivnogo-tipa/kreslo-kolyaska-ottobock-motus-cv/","https://www.youtube.com/embed/_8kc9K3DbVU","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/invalidnie-kolycki-aktivnogo-tipa/kreslo-kolyaska-ottobock-motus-cs/","https://www.youtube.com/embed/_8kc9K3DbVU","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/articles/tovary-dlya-vrachey-i-meditsinskikh-uchrezhdeniy/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/O0wsecIgeIc","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe[12]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/krovati-s-elektricheskim-privodom/krovat-economic-ii-s-elektroprivodom/","https://www.youtube.com/embed/O0wsecIgeIc","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video'][1]/iframe[2]","Content"
"Iframe","https://www.e-kislorod.ru/company/news/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/O0wsecIgeIc","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/p[11]/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/pricpocobleniy-dly-vanni/","https://www.youtube.com/embed/jqIRI4MRDfM?feature=oembed","","","True","","","Protocol-Relative","//body/div[@id='content']/div/div/div[@class='col-md-9 col-sm-8']/div/div[@class='bxr-section-desc']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/articles/tovary-dlya-vrachey-i-meditsinskikh-uchrezhdeniy/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/5GYDWUm2pQY","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe[5]","Content"
"Iframe","https://www.e-kislorod.ru/company/news/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/5GYDWUm2pQY","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/p[4]/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/vertikalizatori-dly-vzroclix/trenazher-vertikalizator-easystand-evolv-glider-/","https://www.youtube.com/embed/5GYDWUm2pQY","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-text']/p[43]/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/vertikalizatori-dly-vzroclix/trenazher-vertikalizator-easystand-evolv-glider-/","https://www.youtube.com/embed/5GYDWUm2pQY","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/articles/varikoz/kak-pravilno-nadet-chulki/","https://www.youtube.com/embed/1UmLxteVQBo","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe","Content"
